premise_code,premise,address,premise_type,state,district
21516,ECONSAVE CASH &CARRY (SUNGAI UDANG),"No.29,Jalan Kerambit 3, Bandar Baru Sungai Udang,,Sungai Udang, 76300 Melaka.,",Pasar Raya / Supermarket,Melaka,Melaka Tengah
18316,ECONSAVE CASH AND CARRY ( SCOTT GARDEN ),"THE SCOTT GARDEN,289, JALAN KLANG LAMA,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Seputeh
15389,ECONSAVE CASH AND CARRY ( SETAPAK CENTRAL ),"LOT G-01, SETAPAK CENTRAL,NO. 67, JALAN TAMAN IBU KOTA,DANAU KOTA,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Wangsa Maju
21345,ECONSAVE CASH AND CARRY (BLG) SDN. BHD.,"LOT 3302, KG BATU,,PEKAN PULAI,,BALING KEDAH.",Pasar Raya / Supermarket,Kedah,Baling
18132,ECONSAVE CASH AND CARRY (TRI) SDN BHD,"NO 2, JALAN SENTRAL TRIANG 10,SENTRAL TRIANG,TRIANG PAHANG,",Pasar Raya / Supermarket,Pahang,Bera
2560,ECONSAVE CASH AND CARRY MALIM S/B,"NO 1-15,JALAN PPM3 PLAZA PANDAN MALIM BUSINESS PARK, BALAI PANJANG,75250 MELAKA",Pasar Raya / Supermarket,Melaka,Melaka Tengah
21605,ECONSAVE EXPRESS,"NO 22 ( GROUND FLOOR ),JALAN MEDAH MIDAH, TAMAN MIDAH,",Pasar Mini,W.P. Kuala Lumpur,Cheras
21702,ECONSAVE EXPRESS SDN BHN,"NO 45&47 GF JALAN 5/76B,DESA PANDAN 55100 KUALA LUMPUR,",Pasar Raya / Supermarket,W.P. Kuala Lumpur,Titiwangsa
21358,ECONSAVE GERIK,"30-39, JALAN TOH SHAHBANDAR ULU,PEKAN GERIK,",Pasar Raya / Supermarket,Perak,Hulu Perak
18185,ECONSAVE JALAN REKO,"PT 64442, PT 63029, PT63030-PT63051,JALAN REKO,43000 KAJANG, SELANGOR.",Pasar Raya / Supermarket,Selangor,Hulu Langat
21361,ECONSAVE JELAPANG,"NO 2, JALAN JELAPANG 1,,JELAPANG,",Pasar Raya / Supermarket,Perak,Kinta
17231,ECONSAVE KAMPAR,"ECONSAVE CASH & CARRY (KR) SDN. BHD.,(CO.NO. 1005687-D)LOT 312205, JALAN BATU KARANG,TAMAN BANDAR BARU,31900 ,KAMPAR,PERAK DARUL RIDZUAN",Pasar Raya / Supermarket,Perak,Kampar
5414,ECONSAVE KG MELAYU SUBANG,"LOT 3761, JALAN 2D,KG BARU SUBANG,40510 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
18471,ECONSAVE KIPMALL,"G21 & M19, KIPMALL,KOTA WARISAN,43900 SEPANG, SELANGOR",Pasar Raya / Supermarket,Selangor,Sepang
17036,ECONSAVE KLEBANG,"NO, 6 LENGKOK KLEBANG PUTRA,PUSAT PERDAGANGAN KLEBANG,CHEMOR",Pasar Raya / Supermarket,Perak,Kinta
15707,ECONSAVE KLUANG,"LOT 1307 & 1308,JALAN MERSING-KLUANG,86000 KLUANG,JOHOR.,",Pasar Raya / Supermarket,Johor,Kluang
10203,ECONSAVE KOTA KEMUNING,"NO 2, PT 45233, JALAN SUNGAI KERANJI M32/M,SEKSYEN 32,40640 SHAH ALAM, SELANGOR",Pasar Raya / Supermarket,Selangor,Petaling
12755,ECONSAVE KOTA TINGGI,"ECONSAVE CASH & CARRY (DJ) SDN. BHD.,LOT 37087, TMN DAIMAN JAYA,81900 KOTA TINGGI",Pasar Raya / Supermarket,Johor,Kota Tinggi
21401,ECONSAVE KUALA KANGSAR,"NO 1, PERSIARAN PENYAYANG TAMAN INDAH,KUALA KANGSAR,",Pasar Raya / Supermarket,Perak,Kuala Kangsar
21311,ECONSAVE KUALA SELANGOR,"LOT 766, JALAN BERNAM, PASIR PENAMBANG,,45000 KUALA SELANGOR,,",Pasar Raya / Supermarket,Selangor,Kuala Selangor
21362,ECONSAVE LENGGONG,"NO 1, JALAN L/8 UTAMA,PUSAT PERNIAGAAN LENGGONG,KAMPUNG BUKIT JERLUN, LENGGONG",Pasar Raya / Supermarket,Perak,Hulu Perak
21326,ECONSAVE MART HENTIAN KAJANG,"NO 16G, JALAN HENTIAN 1, OFF JALAN REKO,,PUSAT HENTIAN KAJANG, 43000 KAJANG,",Pasar Mini,Selangor,Hulu Langat
21332,ECONSAVE MART SALAK TINGGI,"NO 35 & 37, JALAN ST1C, MEDAN 88,BANDAR BARU SALAK TINGGI, 43900 SEPANG,",Pasar Mini,Selangor,Sepang
21333,ECONSAVE MART TAMAN SEROJA,"NO 5 & 7, JALAN SEROJA 6,,TAMAN SEROJA, 43900 SEPANG,,",Pasar Mini,Selangor,Sepang
1259,ECONSAVE PARIT BUNTAR,"LOT PT 140, JALAN PERUSAHAAN 1,KAWASAN PERINDUSTRIAN SIMPANG LIMA,34200 PARIT BUNTAR, PERAK DARUL RIDZUAN",Pasar Raya / Supermarket,Perak,Kerian
12025,ECONSAVE PAYA TERUBONG,"LEBUHRAYA THEAN THEIK,TAMAN LONE PINE,",Pasar Raya / Supermarket,Pulau Pinang,Timur Laut
21843,ECONSAVE PERMAS JAYA,"LOT 385, 2112 & 2114, JALAN PERMAS UTARA 1,BANDAR PERMAS JAYA,MASAI",Pasar Raya / Supermarket,Johor,Johor Bahru
21817,ECONSAVE PORT DICKSON,"LOT 575, PORT DICKSON BY PASS,,TAMAN PUTERI, KAMPUNG DHOBI,",Hypermarket,Negeri Sembilan,Port Dickson
17102,ECONSAVE SENAI,"ECONSAVE CASH & CARRY SDN BHD (SENAI),JALAN LAPANGAN TERBANG SULTAN ISMAIL,81400 SENAI, JOHOR",Pasar Raya / Supermarket,Johor,Johor Bahru
17943,ECONSAVE SERI ISKANDAR,"ECONSAVE CASH & CARRY (IKD) SDN. BHD.(CO. NO. 1024124-U),NO.1, PERSIARAN SERI ISKANDAR PRIMA 1,SERI ISKANDAR PRIMA, SERI ISKANDAR, PERAK.",Pasar Raya / Supermarket,Perak,Perak Tengah
20776,ECONSAVE SIMPANG RENGGAM,"LOT 1209,JALAN AIR HITAM,",Pasar Raya / Supermarket,Johor,Kluang
9102,ECONSAVE SKUDAI PARADE,"ECONSAVE SKUDAI, SKUDAI PARADE,B1-S, JALAN BERTINGKAT SKUDAI,81300 SKUDAI, JOHOR",Pasar Raya / Supermarket,Johor,Johor Bahru
21894,ECONSAVE TAMAN DAYA,"LOT PTD 124006,TAMAN DAYA,",Pasar Raya / Supermarket,Johor,Johor Bahru
12742,ECONSAVE TAMAN DESA CEMERLANG,"PASARAYA ECONSAVE CASH & CARRY ( TAMAN DESA CEMERLANG ),LOT PTD 60190, TAMAN DESA CEMERLANG, MUKIM TEBRAU,81800 JOHOR BAHRU, JOHOR",Pasar Raya / Supermarket,Johor,Johor Bahru
20860,ECONSAVE TAMAN TERATAI,"PTD 43282, JALAN ENAU 14,TAMAN TERATAI,",Pasar Raya / Supermarket,Johor,Johor Bahru
18201,ECONSAVE TAMPIN,"PT121-127 & 328,TAMAN SRI INTAN, BATU 1 JALAN TAMPIN SEREMBAN,73000 TAMPIN, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Tampin
21319,ECONSAVE TANJONG KARANG,"NO 5 & 7 (GROUND FLOOR), JALAN 1, TAMAN TANJONG KARANG,45500 TANJONG KARANG,",Pasar Mini,Selangor,Kuala Selangor
20876,ECONSAVE TANJUNG,"ECONSAVE CASH & CARRY (EC) SDN. BHD.,PASARAYA ARAS 1 HINGGA ARAS 3,KOMPLEKS TAMAN SELERA TANJUNG, JALAN SULTAN ZAINAL ABIDIN",Pasar Raya / Supermarket,Terengganu,Kuala Terengganu
541,EH NGIN A/L EH KAN,"LOT 2304,KG. JUBAKAR DARAT,",Kedai Runcit,Kelantan,Tumpat
21978,EHOO SUPERSTORE SDN BHD,"TL 077808573, BLOK 34,TINGKAT BAWAH, JALAN LEILA,",Pasar Raya / Supermarket,Sabah,Sandakan
21995,EHSAN FRESH GROCERY,"KAMPUNG KAURAN,,JALAN BYPASS KENINGAU TENOM,",Pasar Mini,Sabah,Keningau
16293,EIGHTY EIGHT (88) CAFE,"NO 135JLN HAJI ABDUL AZIZ, 25200KUANTANPAHANG,",Restoran Cina,Pahang,Kuantan
5138,EKEY CAFE,"BATU 25,JALAN YAN KECHIL, SUNGAI YAN,06900 YAN, KEDAH.",Restoran Melayu,Kedah,Yan
21642,ELIANE TRADING COMPANY,"NO. 190, G/F KEMENA COMMERCIAL CENTRE,TANJUNG BATU ROAD, 97000 BINTULU SARAWAK,",Kedai Runcit,Sarawak,Bintulu
12077,ELLI SUPERMARKET,"NO.7,HAWKER CENTRE M.D.S,",Pasar Mini,Sarawak,Kota Samarahan
16264,EMAN MAJU TRADING,"LOT 000008,KAMPUNG SUNGAI BATU JELAWANG, DABONG,",Kedai Runcit,Kelantan,Dabong
21791,EMANLANS TRADING SDN BHD,"PT 2279,HADAPAN MASJID KG KENOR,KUALA KRAI",Kedai Runcit,Kelantan,Kuala Krai
17835,EMART (BATU KAWA) SDN. BHD.,"LOT 6369, BLOCK 225, KNLD, 4TH MILE,BATU KAWA,KUCHING, SARAWAK",Pasar Raya / Supermarket,Sarawak,Kuching
21214,EMART (BINTULU) SDN BHD,"SURVEY LOT 8583-8535 OF LOT 8534, BLOCK 31 KEMENA LAND DISTRICT,,JALAN RAKAWI YUSOF, 97000 BINTULU SARAWAK.,",Pasar Raya / Supermarket,Sarawak,Bintulu
21350,EMART (RIAM) SDN. BHD.,"LOT 8755, BLOCK 1, JALAN MIRI-BINTULU,,LAMBIR LAND DISTRICT,,98000 MIRI, SARAWAK",Pasar Raya / Supermarket,Sarawak,Miri
21633,EMART BOULEVARD KUCHING,"Block 16, KCLD, Boulevard Shopping Mall,,Lot 9324,Jalan Datuk Tawi Sli, Taman Seng Goon,",Pasar Raya / Supermarket,Sarawak,Kuching
18717,EMART FOODCOURT,"EMART COMMERCIAL CENTRE,JALAN TUDAN,",Foodcourt,Sarawak,Miri
21656,EMART KING CENTRE,"Ground Floor, Survey Lot 11211 of Parent Lot 10816,,Section 64,,",Pasar Raya / Supermarket,Sarawak,Kuching
20732,EMART SUMMERMALL,"G1, THE SUMMERMALL,JALAN DATUK MOHAMMAD MUSA,",Pasar Raya / Supermarket,Sarawak,Kota Samarahan
5234,EMART SUPERMARKET,"E-MART SUPERMARKET SDN BHD,BLOCK B, LOT 2892, PHASE 3, JALAN TUDAN,98107 TUDAN, MIRI, SARAWAK",Pasar Raya / Supermarket,Sarawak,Miri
11332,EMART SUPERMARKET MATANG,"EMART (SARAWAK) SDN. BHD.,LOT 9808, SECTION 65 KTLD, LEE LING COMMERCIAL CENTRE,4TH MILE, JALAN MATANG",Pasar Raya / Supermarket,Sarawak,Kuching
18501,EMART TABUAN JAYA,"NO.1,TABUAN TRANQUILITY COMMERCIAL CENTRE JALAN CANNA,93350 KUCHING, SARAWAK",Pasar Raya / Supermarket,Sarawak,Kuching
21664,EMART XPRESS SUKMA RIA,"Lot 1467, 1468 and 1469,,Block 14 Salak Land District, Jalan Sultan Tengah, Petra Jaya,,",Pasar Raya / Supermarket,Sarawak,Kuching
18684,EMPIRE FOOD COURT MELAWATI MALL,"MELAWATI MALL, JALAN SABAH,TAMAN MELAWATI,53100, KUALA LUMPUR",Foodcourt,Selangor,Gombak
16806,EMPORIUM HOCK KEE SENG SDN BHD CAW.TANJUNG,"LOT 4061 PN 2627,KOMPLEKS TAMAN SELERA TANJUNG, MUKIM BANDAR,JALAN SULTAN ZAINAL ABIDIN, KUALA TERENGGANU",Pasar Raya / Supermarket,Terengganu,Kuala Terengganu
15786,EMPORIUM LABUAN SHOPPING MART,"IR7/12- 1R12/16,MANMOHAN WAREHOUSE, JALAN PATAU- PATAU II, P.O. BOX 80792,",Pasar Raya / Supermarket,W.P. Labuan,Kawasan Luar Bandar
1148,ENG HENG BEE,"KAMPUNG KEPALA PARIT DALAM,PEKAN SIMPANG 4,06660 ALOR STAR, KEDAH",Pasar Mini,Kedah,Kota Setar
15284,ENG HOE MINI MARKET,"K-702, TAMAN MOHD NOOR YUSOF,JALAN AIR PUTEH,24000, KEMAMAN TERENGGANU.",Pasar Mini,Terengganu,Kemaman
21904,ENG HUAT MINI MARKET,"NO. 7, 8, 9, JALAN 53A,TAMAN KLUANG BARAT,",Pasar Mini,Johor,Kluang
373,ENG HUP LEONG,"NO 13,KUALA SANGLANG,02700 ARAU, PERLIS.",Kedai Runcit,Perlis,Arau
16744,ENG JOO MINI MARKET,"NO. 277, PERSIARAN BIDARA 1,DESA BIDAR, KUALA KETIL,KEDAH,",Pasar Mini,Kedah,Baling
9604,ENG YU MINI MARKET (TAMAN TEMERLOH JAYA),"NO.43, JALAN TJ 6/1,TAMAN TEMERLOH JAYA,TAMAN TEMERLOH JAYA,",Pasar Mini,Pahang,Temerloh
18379,E-ONE DIAMOND CORNER,"MEDAN SELERA TAMAN KERIS,MUKIM PADANG MATSIRAT07000 LANGKAWI,KEDAH,",Medan Selera,Kedah,Langkawi
2637,ERA SUPERSTORE,"KAMPUNG MEROTAI BESAR, P/S 21218,LOT A 25/1522, KAMPUNG MEROTAI BESAR,91007 TAWAU, SABAH.",Kedai Runcit,Sabah,Kalabakan
17361,ERA TUAH SUPERMART SDN. BHD,"141, KEDAI WAKAF CHE YEH,WAKAF CHE YEH,",Kedai Runcit,Kelantan,Kota Bharu
18386,EVA CAFE,"148 A, JLN PJ6,PEKAN JITRA 2,",Restoran Melayu,Kedah,Kubang Pasu
21058,EVERBRIGHT STARS TRADING TAMAN TAS,"NO 24,JALAN TAS 3,TAMAN TAS",Pasar Mini,Pahang,Kuantan
11257,EVERLASTING KUALA KUBU BHARU,"NO. 38,JALAN RAJA MUDA JAAFAR,44000 KUALA KUBU BHARU, SELANGOR",Pasar Mini,Selangor,Hulu Selangor
21342,EVERRISE DEPARTMENTAL STORE SDN. BHD. - BOULEVARD COMMERCIAL CENTRE,"LOT 2527, BLOCK 5, BOULEVARD COMMERCIAL CENTRE,,MIRI CONCESSION LAND DISTRICT,,98000 MIRI, SARAWAK",Pasar Raya / Supermarket,Sarawak,Miri
21343,EVERRISE DEPARTMENTAL STORE SDN. BHD. - SABERKAS COMMERCIAL CENTRE,"LOT 2228, BLOCK 5, SABERKAS COMMERCIAL CENTRE,,JALAN PUJUT-LUTONG,,98000 MIRI, SARAWAK",Pasar Raya / Supermarket,Sarawak,Miri
758,EVERRISE DEPARTMENTAL STORE SDN. BHD. (4TH MILE),"LOT 759,4TH MILE JALAN PENRISSEN,93250 KUCHING, SARAWAK.",Pasar Raya / Supermarket,Sarawak,Kuching
21200,EVERRISE STUTONG INDAH,"LORONG SETIA RAJA 12, TAMAN STUTONG INDAH,KUCHING,",Pasar Raya / Supermarket,Sarawak,Kuching
11524,EVERWIN (JALAN PAHLAWAN),"JALAN PAHLAWAN 7,SIBU,SARAWAK",Pasar Raya / Supermarket,Sarawak,Sibu
21259,EVERWIN CENTRE SDN BHD,"NO.123 (LOT 1802)JALAN SABU,9500 SRI AMAN,NO.123 (LOT 1802)JALAN SABU,9500 SRI AMAN,",Pasar Raya / Supermarket,Sarawak,Sri Aman
21890,EVERWIN CENTRE SDN BHD - 17 MILES SIBURAN,"NO. 9-18, GOLDEN SQUARE BATU 17,,JLN KUCHING /SERIAN,,",Pasar Raya / Supermarket,Sarawak,Serian
21691,EVERWIN CENTRE SDN BHD - BAU BRANCH,"Sl 9-16,Pl 864, Block 9,,Senggi Poak Land District,,",Pasar Raya / Supermarket,Sarawak,Bau
20864,EVERWIN CENTRE SDN BHD SEMARIANG,"1811, JALAN TEMENGGONG HAJI GOBIL,,PETRA JAYA,",Pasar Raya / Supermarket,Sarawak,Kuching
21888,EVERWIN CENTRE SDN BHD TARAT BRANCH,"NO. 11-24, TARAT SQUARE PASAR TARAT,,BATU 34 1/2, JLN KUCHING SERIAN,,",Pasar Raya / Supermarket,Sarawak,Serian
18502,EVERWIN CENTRE SDN. BHD. (11TH MILE),"EVERWIN CENTRE SDN.BHD. (11TH MILE),NO.6, LOT 118, BLOCK 82,K.C.L.D.JALAN KUCHING/SERIANBATU 11",Pasar Raya / Supermarket,Sarawak,Kota Padawan
6143,EVERWIN ECONOMY MART,"20A, LEVEL 1,JALAN ABDUL RAHMAN,BANDAR SARIKEI",Pasar Raya / Supermarket,Sarawak,Sarikei
21249,EVERWIN MATANG RIA,"EVERWIN CENTRE SDN BHD. COMPANY NO. 797142-H (200701039112) MATANG RIA,14 GF, 14 1F & 14 2F,,LOT 10892,SECTION 65, KTLD MATANG RIA, SHOPPING CENTRE,JALAN MATANG,,",Pasar Raya / Supermarket,Sarawak,Kuching
22133,EVERWIN SUPERMARKET,"LOT 2-10,,YEE SHING COMMERCIAL CENTRE II,",Pasar Raya / Supermarket,Sabah,Keningau
18345,EVERWIN SUPERMARKET (MUKAH),"SUBLOT NO. 18,COMPROMISED IN LOT NO. 2019 & 2020 BOTH IN BLOCK NO.68,MUKAH LAND DISTRICT",Pasar Raya / Supermarket,Sarawak,Mukah
18073,EVERWIN SUPERMARKET (SELANGAU),"PEKAN SELANGAU,SELANGAU,",Pasar Mini,Sarawak,Selangau
21199,EVERWIN SUPERMARKET DESA WIRA,"TAMAN DESA WIRA,KUCHING,",Pasar Raya / Supermarket,Sarawak,Kuching
21643,EVERWIN SUPERMARKET KOTA SENTOSA,"Block 233. SL 31-40, Lee Ling Heights 6 1/ 2 Miles,,Jalan Penrissen,,",Pasar Raya / Supermarket,Sarawak,Kuching
21349,EVERWIN SUPERMARKET SDN. BHD. - CENTRE POINT,"LOT 1688-1694, BLOCK 10, MCLD,,CENTRE POINT PHASE 1, JALAN MELAYU,98000 MIRI, SARAWAK",Pasar Raya / Supermarket,Sarawak,Miri
21341,EVERWIN SUPERMARKET SDN. BHD. - KROKOP,"LOT 2067, BLOCK 4, MCLD,,JALAN CATTLEYA 2, KROKOP,,98000 MIRI, SARAWAK",Pasar Raya / Supermarket,Sarawak,Miri
21338,EVERWIN SUPERMARKET SDN. BHD. - PUJUT 7,"LOT 10563, PUJUT 7 COMMERCIAL CENTRE,OFF JALAN PUJUT 7 BRIDGE, SUNGAI MERAPA, LUTONG,",Pasar Raya / Supermarket,Sarawak,Miri
21344,EVERWIN SUPERMARKET SDN. BHD. - TUDAN,"LOT 1649-1650, BLOCK 11, KBLD LRG 1,,JLN DATO PERMAISURI 1C, PERMY TECHNOLOGY PARK,,98000 MIRI, SARAWAK",Pasar Raya / Supermarket,Sarawak,Miri
1165,EXCELL THREE SUPER CENTRE,"No. 88C, JALAN PEKAN BESAR, TAMAN BANDAR BAHARU, 06400 Pokok Sena, Kedah,06400 POKOK SENA, KEDAH,",Pasar Raya / Supermarket,Kedah,Pokok Sena
8380,EXCELLENT MARZ TRADING (BAINI),"KM.8 KAMPUNG KENJING,SEBERANG JERTEH,22000 JERTEH,TERENGGANU",Kedai Runcit,Terengganu,Besut
20982,EXPRESS MART,"L-11, JALAN SM 1C/12,,BANDAR BARU SERI MANJUNG,SERI MANJUNG",Kedai Runcit,Perak,Manjung
18354,EXPRESS MART 722,"GROUND FLOOR, WISMA TKT,2/4,JALAN DANG WANGI,",Pasar Mini,W.P. Kuala Lumpur,Bukit Bintang
21269,EZ FRESH MART,"YYT Global Sdn Bhd,GF-07, Menara Paragon,Persiaran Bestari, Cyber 11",Kedai Runcit,W.P. Putrajaya,Cyberjaya
15504,FAEZ MAJU RESOURCES,"PT 589 WAKAF LANAS,JALAN KOTA BHARU,",Pasar Mini,Kelantan,Pasir Puteh
21837,FAHMID MINI MART,"NO. 1, JALAN SIERRA PERDANA 6/3,TAMAN SIERRA PERDANA,MASAI",Pasar Mini,Johor,Johor Bahru
18299,FAHRAN CAFE,"NO. 2 JALAN PP4, BANDAR UNIVERSITI,32610 SERI ISKANDAR, PERAK,",Restoran Melayu,Perak,Manjung
659,FAIRUZ TOMYAM SEAFOOD,"SIMPANG TIGA,KAMPUNG GAAL,16800 PASIR PUTIH, KELANTAN.",Restoran Melayu,Kelantan,Pasir Puteh
21996,FAJAR SUPERSTORE,"NT. 133026954,PETI SURAT 1862,",Pasar Raya / Supermarket,Sabah,Keningau
3873,FAMILY CHE ENTERPRISE,"NO.7, KAMPUNG ANAK MUSANG,22020 JERTEH,BESUT, TERENGGANU",Kedai Runcit,Terengganu,Besut
21959,FAMILY FRESH MART,"Tawau,Tawau,",Pasar Mini,Sabah,Kalabakan
21034,FAMILY GROCER,"NO 8 & 9,JALAN TOH SHAHBANDAR MUDA 5,",Pasar Raya / Supermarket,Perak,Hulu Perak
15531,FAMILY SHOPPING MART,"MUTIARA NIAGA, KD6- KD10, TAMAN MUTIARA, SUNGAI DEDAUN, 87000 WP LABUAN,",Pasar Raya / Supermarket,W.P. Labuan,Kawasan Luar Bandar
5870,FAMILY STORE (JASIN),"JA 8699,BANDAR JASIN 3,7700 JASIN, MELAKA",Pasar Raya / Supermarket,Melaka,Jasin
1527,FAMILY STORE (MASJID TANAH),"SU3054-A,JALAN MASJID TANAH RIA UTAMA, TAMAN MASJID TANAH RIA,78300 MASJID TANAH MELAKA",Pasar Raya / Supermarket,Melaka,Alor Gajah
239,FAMILY STORE RASAH JAYA,"NO. 3745 & 3746,JALAN RJ 6/12 TAMAN RASAH JAYA,70300 SEREMBAN, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
13788,FAMILY STORE SEREMBAN 2,"S-TWO FAMILY STORE SDN. BHD919-922 J,ALAN S2 F23GARDEN HOMES SEREMBAN,27030 SEREMBAN, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
656,FAMILY STORE SIKAMAT,"NO.10-12,LORONG DESA KIARA 2/3, TAMAN DESA KIARA,70400 SEREMBAN, NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Seremban
16391,FAMILY STORE SUNGGALA,"NO 27 & 28,JALAN PDS 1PD SUNGGALA GATEWAY,71050 PORT DICKSON,NEGERI SEMBILAN",Pasar Raya / Supermarket,Negeri Sembilan,Port Dickson
21868,FAMILY W,"GROUND FLOOR G1 TO G6 LOT 1660 SIMANGGANG TOWN DISTRICT, 95000 SRI AMAN, SARAWAK,GROUND FLOOR G1 TO G6 LOT 1660 SIMANGGANG TOWN DISTRICT, 95000 SRI AMAN, SARAWAK,",Pasar Raya / Supermarket,Sarawak,Sri Aman
18325,FAMILY W GROCER (TANJUNG MANIS) SDN BHD,"LOT 533, 535-538 NO 1216-1220,JALAN SEKUMANG TANJUNG SEBUBAL,",Pasar Mini,Sarawak,Tanjung Manis
18326,FAMILY W MART (KANOWIT),"JALAN WAYANG,KANOWIT,",Pasar Mini,Sarawak,Kanowit
17887,FAMOUS PELITA CAFE,"NO. 85, GROUND FLOOR,ASSYAKIRIN COMMERCIAL CENTRE,97000 BINTULU, SARAWAK,",Restoran India Muslim,Sarawak,Bintulu
18699,FARIDABI NORTHERN STORE (QAIREEN),"NO 1103 & 104,RUMAH KEDAI PUSAT BANDAR DARULAMAN,06000 JITRA KEDAH",Kedai Runcit,Kedah,Kubang Pasu
21103,FARIDABI NORTHERN STORES,"JALAN POLIMAS , TAMAN SISWA 8,,BANDAR DARULAMAN,,JITRA, KEDAH",Pasar Raya / Supermarket,Kedah,Kubang Pasu
21095,FARIDAH IDAMAN RESOURCES,"PT 5454, TINGKAT BAWAH BANGUNAN KOPKEJAT,KG KULIM GEMANG, TANAH MERAH,",Kedai Runcit,Kelantan,Jeli
4762,FARLEY FOOD COURT,"FARLEY FOOD COURT MEDAN JAYA COMMERCIAL CENTRE,97000 BINTULU,SARAWAK,",Foodcourt,Sarawak,Bintulu
17828,FARLEY KOTA SAMARAHAN,"LOT 9284 (SUBLOT 90), BANDAR RIYAL,JALAN MUARA TUANG,KOTA SAMARAHAN, SARAWAK",Pasar Raya / Supermarket,Sarawak,Kota Samarahan
20865,FARLEY KUCHING,"LOT 4547, BLOK 233, KNLD, JALAN PENRISSEN, 6TH MILE,KUCHING,",Pasar Raya / Supermarket,Sarawak,Kuching
3214,FARLEY SUPERMARKET,"LOT 7181, BLOCK 31,MEDAN JAYA COMMERCIAL CENTRE,97000 BINTULU,SARAWAK,",Pasar Raya / Supermarket,Sarawak,Bintulu
11523,FARLEY SUPERMARKET SIBU,"JALAN SALIM,96000,SIBU, SARAWAK",Pasar Raya / Supermarket,Sarawak,Sibu
16939,FAROUK MAJU,"BANDAR PEKAN,",Restoran India Muslim,Pahang,Pekan
1978,FATIMAH BT SABOR,"NO. 4, GERAI MDJL,73500 ROMPINN.SEMBILAN,",Medan Selera,Negeri Sembilan,Rompin
21261,FATIMAH STAR ENTERPRISE,"NO.5, JALAN HELANG,DESA PERMAI INDAH,SUNGAI DUA, GELUGOR",Kedai Runcit,Pulau Pinang,Barat Daya
22048,FATIMAH SUPERSTORE,"2,2,",Kedai Runcit,Sabah,Beaufort
18262,FATIRAH RESTORAN (2),"KG. NYIUR TUJUH22000 JERTEHBESUT, TERENGGANU,",Restoran Melayu,Terengganu,Besut
17994,FATT LEE COFFEE SHOP,"NO.9, LOKE YEW, 27800 BENTONG, PAHANG,",Restoran Cina,Pahang,Bentong
18368,FATT SHUN RESTAURANT,"MDLD 7022, LOT 114, GROUND FLOOR, PERDANA SHOP, JALAN PERDANA 3, 91100 LAHAD DATU,",Restoran Cina,Sabah,Lahad Datu
16350,FAZILA TOM YAM & SEAFOOD,"NO. 16, JALAN MELATI 3,BANDAR MALAWATI,45000 KUALA SELANGOR,SELANGOR",Restoran Melayu,Selangor,Kuala Selangor
18609,FAZLINA MAJU BISTRO SDN BHD,"NO.2, JALAN ABDUL HAMID,44000 KUALA KUBU BHARU, HULU SELANGOR, SELANGOR,",Restoran India Muslim,Selangor,Hulu Selangor
21389,FIRST OCEAN TRADING,"NO 602-604, LORONG KURAU 3, TAMAN SAMUDERA,,SERI MANJUNG,",Kedai Runcit,Perak,Manjung
21914,FOCUS FLAIR SDN BHD,"PTD 3717, 46,JALAN HAJI ABDULLAH,",Pasar Mini,Johor,Muar
20691,FOH HING LOONG,"BATU  3, JALAN APAS,TAWAU,SABAH",Pasar Mini,Sabah,Tawau
1973,FONG KEE RESTAURANT,"26, JALAN BESAR,73500 ROMPIN.N.SEMBILAN,",Restoran Cina,Negeri Sembilan,Rompin
21726,FONG MINI MARKET,"NO.6, JLN BISTARI DUA,,TAMAN BISTARI,",Kedai Runcit,Pahang,Raub
15720,FOOD COURT ( AEON AU2 ),"NO 6, TMN SETIAWANGSA, AU2 TMN KERAMAT, 54200 KL.,",Foodcourt,W.P. Kuala Lumpur,Setiawangsa
15616,FOOD COURT ( AEON BIG KEPONG ),"NO 2, JLN METRO PERDANA, TMN USAHAWAN KEPONG, 52100 KL.,",Foodcourt,W.P. Kuala Lumpur,Kepong
18234,FOOD COURT ( AEON BIG WANGSA MAJU ),"AEON BIG WANGSA MAJU6, JALAN 8/27ASEKSYEN 5, WANGSA MAJU53300 KUALA LUMPUR,",Foodcourt,W.P. Kuala Lumpur,Setiawangsa
16415,FOOD COURT ( AEON METRO PRIMA ),"AEON METRO PRIMAJALAN METRO PRIMA, KEPONG, 52100 KUALA LUMPUR,",Foodcourt,W.P. Kuala Lumpur,Kepong
15866,FOOD COURT ( AEON WANGSA MAJU ),"SEKSYEN 1,WANGSA MAJU, KUALA LUMPUR,",Foodcourt,W.P. Kuala Lumpur,Wangsa Maju
15724,FOOD COURT ( ARENA - AEON MALURI ),"GROUND FLOOR, AEON TAMAN MALURI,JALAN JEJAKA,TAMAN MALURI",Foodcourt,W.P. Kuala Lumpur,Cheras
